Account,total_pnl,active_days,total_trades,avg_trade_size,total_volume,avg_daily_pnl,std_daily_pnl,win_rate,pct_profitable_days,trades_per_active_day,pnl_consistency,size_segment,freq_segment,consistency_segment,archetype_cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,24,3818,33569.102223713766,61697263.970000006,66676.242499125,150401.79734551374,0.7706911497254099,0.6666666666666666,159.08333333333334,0.4433207825698491,Large size,Frequent,Consistent winner,1,Whale / Position Trader
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,52,7280,4359.8309302466505,12035487.66,920.8715483461539,3603.0422910248762,0.7746694551728613,0.5576923076923077,140.0,0.25558166515004027,Mid size,Frequent,Inconsistent,0,Retail / Casual Trader
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,12,3809,11057.118418553686,33873440.42,-5869.682609833333,33420.410013838264,0.7291901940773508,0.6666666666666666,317.4166666666667,-0.17563167559592763,Large size,Frequent,Consistent winner,2,High-Frequency Scalper
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,162,13311,484.8442941619222,6757022.1,817.6840404567902,2993.2847018942703,0.8834986162967678,0.8888888888888888,82.16666666666667,0.2731728258054862,Small size,Moderate,Consistent winner,2,High-Frequency Scalper
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,69,3239,2553.7570373757217,10166880.2,2444.3189129565217,4867.743468797182,0.7615892289549481,0.782608695652174,46.94202898550725,0.5021462056546115,Small size,Moderate,Consistent winner,2,High-Frequency Scalper
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,43,815,1613.2556722621034,1409902.0,-725.6651159534885,10110.280939662283,0.6742275521077364,0.32558139534883723,18.953488372093023,-0.07177497047651062,Small size,Infrequent,Inconsistent,0,Retail / Casual Trader
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,46,3589,28188.549085190585,17193375.42,314.2808551304348,14586.482779999604,0.8311065086645512,0.5434782608695652,78.02173913043478,0.02154603408310083,Large size,Moderate,Inconsistent,1,Whale / Position Trader
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,28,332,9812.51560528366,1143896.46,1910.5802586785717,5774.468515461302,1.0,0.5357142857142857,11.857142857142858,0.3308668587529639,Large size,Infrequent,Inconsistent,0,Retail / Casual Trader
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,20,383,8334.762260556681,1987527.6099999999,9975.2796366,20797.39604487325,1.0,0.5,19.15,0.4796407980632267,Mid size,Infrequent,Inconsistent,0,Retail / Casual Trader
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,28,1237,2525.945975144083,2966109.22,14876.49544075,32725.08326015729,1.0,0.25,44.17857142857143,0.45458999515708176,Small size,Moderate,Inconsistent,0,Retail / Casual Trader
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,144,8519,516.6442989710463,4408828.9,717.6646955625,2484.2443189649503,0.8128397849603801,0.8194444444444444,59.15972222222222,0.28888651976932445,Small size,Moderate,Consistent winner,2,High-Frequency Scalper
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,58,4356,16024.724760769133,39572949.25,11685.293976603449,25344.268484609507,0.9126012876012876,0.6724137931034483,75.10344827586206,0.46106258634765607,Large size,Moderate,Consistent winner,0,Retail / Casual Trader
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,321,7584,16038.456425115373,129672529.28,962.5416502056074,7430.255413150263,0.9598035894545963,0.6043613707165109,23.626168224299064,0.129543548193791,Large size,Infrequent,Consistent winner,1,Whale / Position Trader
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,39,12236,27603.84521556422,420876556.36,21549.296287589743,42171.74469920306,0.8668135348666396,0.5641025641025641,313.7435897435897,0.5109889676439441,Large size,Frequent,Consistent winner,1,Whale / Position Trader
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,47,975,867.1703611532234,728057.51,2313.4301440851063,7470.04650016332,0.9533730158730158,0.574468085106383,20.74468085106383,0.30969420927092317,Small size,Infrequent,Consistent winner,0,Retail / Casual Trader
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,19,1590,9367.295108536868,11474500.92,22597.66136394737,80215.01097553849,0.5299145299145299,0.21052631578947367,83.6842105263158,0.28171362303794373,Mid size,Frequent,Inconsistent,0,Retail / Casual Trader
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,65,1424,4688.041802175383,2962475.47,5546.761692753847,23406.44232359817,0.7883155080213904,0.24615384615384617,21.907692307692308,0.23697585545333602,Mid size,Infrequent,Inconsistent,0,Retail / Casual Trader
