Account,date,daily_pnl,n_trades,n_realized,n_wins,n_losses,avg_trade_size_usd,total_volume_usd,n_long_open,n_short_open,total_fee,sentiment,classification,fg_value,win_rate,long_short_ratio,net_long_bias,size_segment,freq_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0,0,0,5089.718248587571,900880.13,0,177,167.796055,Greed,Extreme Greed,76.0,,0.0,-177,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0,0,0,7976.664411764705,542413.1799999999,0,68,67.883615,Greed,Extreme Greed,90.0,,0.0,-68,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0,0,0,23734.5,949380.0,0,40,94.93798300000002,Greed,Extreme Greed,83.0,,0.0,-40,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,12,0,12,28186.666666666668,338240.0,0,0,33.823995,Greed,Extreme Greed,94.0,0.0,,0,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,12,12,0,17248.14814814815,465700.0,0,15,104.62249,Greed,Extreme Greed,79.0,1.0,0.0,-15,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,82,0,82,16058.536341463414,1316799.98,0,0,131.679967,Greed,Extreme Greed,77.0,0.0,,0,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0,0,0,48561.68565217392,1116918.77,0,23,390.921553,Greed,Extreme Greed,84.0,,0.0,-23,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,33,0,33,36736.36242424243,1212299.96,0,0,121.229992,Greed,Greed,72.0,0.0,,0,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,112,23,89,11410.954021505377,5306093.62,0,353,780.33644,Greed,Extreme Greed,77.0,0.20535714285714285,0.0,-353,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,28,28,0,9400.588039215687,479429.99,0,23,23.971493,Greed,Extreme Greed,76.0,1.0,0.0,-23,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,9,9,0,185847.0,1858470.0,0,1,92.923496,Greed,Greed,60.0,1.0,0.0,-1,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,371,256,115,23593.019856972587,19794543.66,275,193,2355.038296,Fear,Fear,44.0,0.6900269541778976,1.4248704663212435,82,Large size,Frequent,Consistent winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,111,83,28,10576.687156308852,5616220.88,0,420,704.19937,Greed,Greed,72.0,0.7477477477477478,0.0,-420,Large size,Frequent,Consistent winner
